Book #,SONG ID,SOURCE,Title,Text © admin,CCLI #,Tune © admin,Author,Author's life span,Tune name,Composer,Composer life span,Word revisions,life span,Music adapt ,Life span,Descants,Life span,Ref. No,Psalm ref #
119:137,P158,119:137,"O LORD, you are the Righteous One",Free Church of Scotland,n/a,pd,Sing Psalms,2003,RIMINGTON,"Duckworth, Francis ",1862-1941,,,,,,,,172
119:145,P159,119:145,"O LORD, my earnest cry",1957,n/a,pd,Psalter Hymnal,1957,LEOMINSTER,"Martin, George William ",1828-1881,,,"Sullivan, Arthur S.",1842-1900,,,,173
119:153,P160,119:153,Look on my suffering  ,STTL,n/a,pd,"Rogers, John H.",b. 1951,SANDON,"Purday, Charles H. ",1799-1885,,,,,,,,174
119:161,P161,119:161,Though rulers hound me,Free Church of Scotland,n/a,pd,Sing Psalms,2003,O WALY WALY,English ,,,,Sing to the Lord,2008,,,,175
119:169,P162,119:169,Let my cry come before you,Free Church of Scotland,n/a,FCS,Sing Psalms,2003,MULCHAICH,"Scott, Isobel ",b. 1942,,,,,,,,176
119:25b,P165,119:25b,"Here I lie, my soul clings to the dust",STTL,n/a,STTL,"Cressy, Coby",b. 1938,DALETH,"Cressy, Coby",b. 1938,,,,,,,,158
119:65,P170,119:65,"LORD, you have dealt well",1957,n/a,pd,Psalter Hymnal,1957,LUZON,"Van Halsema, Dick L. ",b. 1922,,,,,,,,163
119:73,P171,119:73,Your hands have fashioned me,STTL,n/a,pd,"Rogers, John H.",b. 1951,SAMUEL,"Sullivan, Arthur S.",1842-1900,,,,,,,,164
119:81,P172,119:81,My soul for thy salvation faints,1957,n/a,pd,Psalter Hymnal,1957,BELMONT,"Gardiner, William ",1770-1853,,,,,,,,165
119:89,P173,119:89,"Eternal is your word, O LORD",Free Church of Scotland,n/a,pd,Sing Psalms,2003,ST. CATHERINE,"Hemy, Henri F. ",1818-1888,,,"Walton, James G.  ",1821-1905,,,,166
119:97,P175,119:97,How I love thy law,1957,n/a,pd,Psalter Hymnal,1957,GRANDVILLE,"Piersma, Albert ",1893-1975,,,,,,,,167
133b,P190,133b,How good and pleasant is the sight,1957,n/a,pd,Psalter Hymnal,1957,PRESSLY,"Gabriel, Charles H.",1856-1932,,,,,,,,
137b,P195,137b,By flowing waters of Babylon,Hope,1030401,Hope,"Perry, Michael A. ",1942-1996,SOLENT BREEZES,"Perry, Michael A.",1942-1996,,,"Strover, Christian",b. 1932,,,,196
139b,P198,139b,"LORD, thou hast searched me",1957,n/a,pd,Psalter Hymnal,1957,FEDERAL STREET,"Oliver, Henry K. ",1800-1885,,,,,,,,199
145b,P205,145b,"O Lord, thou art my God and King",1957,n/a,pd,Psalter Hymnal,1957,DUKE STREET,"Hatton, John",1710-1793,,,,,,,,
149b,P210,149b,O praise ye the LORD,1957,n/a,pd,Psalter Hymnal,1957,HANOVER,"Croft, William ",1678-1727,,,,,"Gray, Alan ",1855-1935,,210
150b,P212,150b ,Hallelujah! Praise the LORD!,STTL,n/a,pd,"Rogers, John H.",b. 1951,GENEVAN 150,Genevan Psalter,1562,Bruinsma. Henry ,1916-1991,De Vries Koraalboek,,,,,212
150b,P212,150b ,Hallelujah! Praise the LORD!,STTL,n/a,pd,"Rogers, John H.",b. 1951,GLORIA,Genevan Psalter,1562,Bruinsma. Henry ,1916-1991,De Vries Koraalboek,,,,,212
16b,P018,16b,"Protect me, God",Hope,726936,Hope,"Saward, Michael ",b. 1932,MEPHIBOSHETH,"Strover, Christian ",b. 1932,,,,,,,,18
19b,P022,19b,The heavens declare thy glory,pd,n/a,pd,"Birks, Thomas R. ",1810-1883,HEART EVER FAITHFUL,"Bach, Johann S. ",1685-1750,,,,,,,,22
1b,P002,1b,Blessed is the man,Hope,195347,Hope,"Baughen, Michael ",b. 1969 ,BLESSED IS THE MAN,"Baughen, Michael ",b. 1930,,,"Thornton, Jim ",b. 1947,,,,2
22b,P026,22b,The ends of all the earth,1957,n/a,pd,Psalter Hymnal,1957,VISION,"Doane, William H.",1832-1915,,,,,,,,
22c,P027,22c,Amid the thronging worshippers,1957,n/a,pd,Psalter Hymnal,1957,BOVINA,"Tate, Laura A. ",1912,,,,,,,,27
25b,P031,25b,"LORD, to you my soul is lifted",FACR,727179 changed,pd,"Wiersma, Stanley ",1930-1986,GENEVAN 25,Genevan Psalter,1551,,,"Slenk, Howard ",b. 1931,,,,31
25b,P031,25b,"LORD, to you my soul is lifted",FACR,727179 changed,pd,"Wiersma, Stanley ",1930-1986,PATHWAY,Genevan Psalter,1551,,,"Slenk, Howard ",b. 1931,,,,31
39b,P046,39b,Teach me the measure of my days,pd,n/a,pd,"Watts, Isaac ",1674-1748,NORTHSIDE,"Van Halsema, Dick L. ",b. 1922,,,,,,,,46
42b,P050,42b,As pants the hart,1957,n/a,pd,Psalter Hymnal,1957,CONSOLATION (MENDELSSOHN),"Mendelssohn, Felix ",1809-1847,,,,,,,,51
42b,P050,42b,As pants the hart,1957,n/a,pd,Psalter Hymnal,1957,FELIX (RAYNOLDS) ,"Mendelssohn, Felix ",1809-1847,,,,,,,,51
43b,P052,43b,"Come! Vindicate me, O my God!",Free Church of Scotland,n/a,pd,Sing Psalms,2003,ARCADIA,"Johnson, Carolyn Beezhold ",1954,,,,,,,,52
47b,P057,47b,"All nations, clap your hands",1957,n/a,pd,Psalter Hymnal,1957,SILVER STREET,"Smith, Isaac ",1734-1805,,,,,,,,57
51b,P062,51b,"God, be merciful to me",1957,n/a,pd,Psalter Hymnal,1957,GETHSEMANE,"Dykes, John B. ",1823-1876,,,,,,,,62
51b,P062,51b,"God, be merciful to me",1957,n/a,pd,Psalter Hymnal,1957,AJALON,"Redhead, Richard ",1820-1901,,,,,,,,62
63b,P076,63b,"O Lord, my God, most earnestly",1957,n/a,pd,Psalter Hymnal,1957,GREEN HILL,"Stebbins, George C. ",1846-1945,,,,,,,,76
65b,P079,65b,Thy might sets fast the mountains,1957,n/a,pd,Psalter Hymnal,1957,WEBB,"Webb, George J. ",1803-1887,,,,,,,,
68b,P083,N275,God shall arise and by his might,BOP,n/a,pd,"Van Oene, Willem W. J. ",b. 1920,GENEVAN 68,Strasbourg Psalter,1539,,,"Woolridge, H. W. ",c. 1899,,,295,
68b,P083,N275,God shall arise and by his might,BOP,n/a,pd,"Van Oene, Willem W. J. ",b. 1920,GREITER,Strasbourg Psalter,1539,,,"Woolridge, H. W. ",c. 1899,,,295,
68c,P084,68c,"O Lord, thou hast ascended",1957,n/a,pd,Psalter Hymnal,1957,MISSIONARY HYMN,"Mason, Lowell ",1792-1872,,,,,,,,84
69b,P086,69b,"Thy lovingkindness, LORD, is good",1957,n/a,pd,Psalter Hymnal,1957,EVENTIDE,"Monk, William H. ",1823-1889,,,,,,,,86
72b,P089.1,NPH359,Christ is the King and he shall reign,pd,n/a,pd,Psalter,1912,NATIVITY,"Lahee, Henry ",1826-1912,,,,,"Palmer, Peggy Spencer",1900-1987,,
73b,P091,73b,In doubt and temptation,1957,n/a,pd,Psalter Hymnal,1957,CARTER,"Updegraff, E. Grace ",1871-1964,,,,,,,,91
73c,P092,73c,"In sweet communion, Lord, with thee",1957,n/a,pd,Psalter Hymnal,1957,PRAYER,"Butcher, William U. ",19th cent.,,,,,,,,92
78b,P098,78b,Let children hear the mighty deeds,pd,n/a,pd,"Watts, Isaac ",1674-1748,WEYMOUTH,"Ferris, Theodore P. ",1908-1972,,,,,,,,98
81b,P102,81b,Sing a psalm of joy!,FACR,468902 changed,pd,"Post, Marie J.",1919-1990,TRUMPET,Genevan Psalter,1562,,,"Grotenhuis, Dale",b. 1931,,,,
81b,P102,81b,Sing a psalm of joy!,FACR,468902 changed,pd,"Post, Marie J.",1919-1990,GENEVAN 81,Genevan Psalter,1562,,,"Grotenhuis, Dale",b. 1931,,,,
86b,P108,86b,"LORD, my petition heed",FACR,729115 added,pd,Psalter Hymnal,1957,MASON,"Sherwin, William F. ",1826-1888,"Polman, Bert ",b. 1945,"Grotenhuis, Dale  ",b. 1931,,,,108
87b,P110,87b,"Zion, founded on the mountains",1957,n/a,pd,Psalter Hymnal,1957,ZION,"Hastings, Thomas ",1784-1872,,,"Hastings, Thomas",1784-1872,,,,
89 part 1,P112,89 part 1,I will extol the LORD'S great love,Free Church of Scotland,n/a,Hope,Sing Psalms,2003,LORD OF THE YEARS,"Baughen, Michael ",b. 1930,,,"Iliff, David ",b. 1939,"Barnard, John ",b. 1948,,112
89 part 2,P113,89 part 2,There was a time,Free Church of Scotland,n/a,pd,Sing Psalms,2003,STRENGTH AND STAY,"Dykes, John B.  ",1823-1876,,,,,,,,113
89 part 3,P114,89 part 3,"But you, O LORD, have spurned",Free Church of Scotland,n/a,pd,Sing Psalms,2003,LOMBARD STREET,"Russell, Frederick G. ",1867-1929,,,,,,,,114
89b,P115,89b,"Almighty God, thy lofty throne",1957,n/a,pd,Psalter Hymnal,1957,WINCHESTER NEW,"Musikalisches Handbuch, Hamburg",1690,,,,,,,,115
95b,P122,95b,"Sing to the LORD, the rock",pd,n/a,pd,"Maynard, Theodore ",1890-1956,PEACE,"Chadwick, George W. ",1854-1931,,,,,,,,122
98b,P126,98b,Unto GOD our Saviour,1957,n/a,pd,Psalter Hymnal,1957,GOETHE,Anonymous,,,,,,,,,126
